# Input file: /home/rlomba/cupy/pictures/2sp_white.jpg
# std_scale: 1.0
# min_pts: 5
# eps: 1.9317284234263357
# cluster_id num_points center_x center_y gyration_radius lambda1 lambda2 relation_between_lambdas
0 35 164.714279 2.828571 3.312808 307.440735 76.673546 4.009737
1 11 181.727280 0.454545 1.676281 28.254662 2.654429 10.644345
2 31 189.709671 3.290323 2.441405 122.000000 62.774193 1.943474
3 10 234.500000 0.800000 1.268858 10.500000 5.600000 1.875000
4 1112 265.920868 10.122302 17.186304 280354.375000 48096.039062 5.829053
5 11 325.818176 1.181818 1.323656 10.000000 9.272727 1.078431
6 593 379.357513 5.865093 14.271956 110779.148438 10008.266602 11.068765
7 7 461.000000 0.714286 1.030158 4.000000 3.428571 1.166667
8 9 506.000000 1.000000 1.154701 6.000000 6.000000 1.000000
9 25 591.640015 0.840000 2.946998 201.795151 15.324848 13.167841
10 15 607.400024 0.733333 2.074180 57.065948 7.467383 7.642027
11 1536 778.261047 19.662109 16.310024 210487.796875 198114.156250 1.062457
12 37 842.081055 2.297297 2.849782 178.925659 121.560829 1.471902
13 9 908.111084 0.777778 1.266862 10.461640 3.982805 2.626702
14 429 951.312378 5.310023 11.752489 52894.710938 6359.199219 8.317826
15 62 1032.403198 5.854839 4.132118 853.554382 205.058487 4.162492
16 11 81.454544 1.818182 1.360603 14.128780 6.234856 2.266096
17 10 155.000000 2.500000 1.284523 12.000000 4.500000 2.666667
18 19 622.736816 3.368421 1.920872 54.551689 15.553573 3.507341
19 11 890.181824 2.454545 1.360603 14.128780 6.234856 2.266096
20 9 430.000000 3.000000 1.154701 6.000000 6.000000 1.000000
21 38 543.631592 4.105263 3.197125 316.210693 72.210342 4.379022
22 11 572.181824 3.181818 1.323656 10.000000 9.272727 1.078431
23 11 212.818176 4.454545 1.360603 14.128780 6.234856 2.266096
24 11 450.818176 4.181818 1.323656 10.000000 9.272727 1.078431
25 13 815.615356 4.384615 1.418391 15.153846 11.000000 1.377622
26 13 113.384613 5.384615 1.418391 15.153846 11.000000 1.377622
27 10 173.000000 5.500000 1.284523 12.000000 4.500000 2.666667
28 18 436.000000 6.500000 1.892969 52.500000 12.000000 4.375000
29 12 457.750000 5.333333 1.381927 13.026794 9.889873 1.317185
30 10 847.000000 4.800000 1.249000 9.600000 6.000000 1.600000
31 58 181.258621 10.017241 4.093947 730.329651 241.773819 3.020714
32 11 607.454529 5.636364 1.323656 11.000000 8.272727 1.329670
33 20 723.049988 6.550000 1.869492 47.559620 22.340380 2.128863
34 10 141.100006 7.200000 1.284523 10.500000 6.000000 1.750000
35 12 516.500000 7.500000 1.354006 11.000000 11.000000 1.000000
36 13 24.384615 8.384615 1.418391 15.153846 11.000000 1.377622
37 20 152.250000 10.100000 2.275412 88.348907 15.201094 5.812010
38 29 522.517212 9.275862 2.723047 175.170456 39.864029 4.394198
39 10 570.900024 7.800000 1.284523 10.500000 6.000000 1.750000
40 11 706.454529 7.636364 1.323656 11.000000 8.272727 1.329670
41 11 710.909119 8.363636 1.329885 12.986081 6.468464 2.007599
42 9 421.000000 9.000000 1.154701 6.000000 6.000000 1.000000
43 10 454.000000 9.200000 1.249000 9.600000 6.000000 1.600000
44 30 616.900024 10.333333 2.403932 109.768692 63.597977 1.725978
45 22 641.409119 9.045455 2.470487 115.000000 19.272728 5.966981
46 11 751.454529 8.636364 1.323656 11.000000 8.272727 1.329670
47 11 122.818184 9.727273 1.342257 11.388984 8.429198 1.351135
