# Input file: C:\Users\Rodrigo\Documents\GitHub\TFG_DBSCANQ\pictures\lconf.jpg
# std_scale: 1.0
# min_pts: 5
# cluster_id num_points center_x center_y gyration_radius lambda1 lambda2 relation_between_lambdas
0 28 35.857143 122.142860 3.793119 323.288727 79.568413 4.063028
1 46 81.782608 125.086960 4.009440 402.608826 336.869446 1.195148
2 6 115.500000 120.666664 2.266912 29.535458 1.297875 22.756783
3 13 382.769226 121.692307 2.815847 91.611252 11.465672 7.990046
4 37 428.540527 122.567566 4.047923 467.276459 138.993820 3.361851
5 31 469.741943 122.677422 3.513613 284.764771 97.944901 2.907398
6 22 497.454559 122.000000 3.201239 185.564468 39.890083 4.651895
7 58 527.913818 124.896553 4.559848 701.407837 504.540466 1.390191
8 41 583.024414 122.756096 4.295592 593.097778 163.438812 3.628867
9 67 185.000000 127.402985 4.837847 798.159668 769.959717 1.036625
10 68 268.250000 127.088234 4.875238 937.998779 678.221863 1.383026
11 74 136.932434 129.959457 5.106356 1076.918823 852.621704 1.263067
12 74 241.594589 129.770264 5.160835 1149.874512 821.057983 1.400479
13 63 331.365082 128.888885 4.647624 683.544006 677.281372 1.009247
14 64 403.328125 129.953125 4.745012 769.349792 671.618958 1.145515
15 61 160.295074 131.524597 4.580611 697.275940 582.625732 1.196782
16 69 627.391296 136.072464 4.950585 964.140686 726.931824 1.326315
17 70 602.942871 137.171432 4.886884 847.791138 823.923157 1.028969
18 71 107.211266 138.690140 4.946209 967.756409 769.257629 1.258039
19 79 363.607605 138.443039 5.214790 1112.946167 1035.382935 1.074913
20 69 483.594208 138.173920 4.864171 838.720520 793.830200 1.056549
21 70 453.642853 139.685715 4.981619 934.277588 802.879517 1.163658
22 31 509.322571 139.516129 3.683074 230.807037 189.709091 1.216637
23 60 430.566681 143.800003 4.597705 747.561401 520.771973 1.435487
24 74 311.013519 146.216217 5.077144 1032.781372 874.745728 1.180665
25 77 205.350647 147.753250 5.212179 1067.807373 1024.036743 1.042743
26 84 579.821411 149.166672 5.431377 1373.130737 1104.857300 1.242813
27 64 389.437500 150.156250 4.713988 775.589478 646.598022 1.199492
28 57 178.578949 150.000000 4.491502 683.146301 466.748474 1.463628
29 71 80.563377 153.056335 5.117272 1130.979370 728.260010 1.552988
30 73 39.479450 152.863007 4.986075 953.184753 861.664551 1.106213
31 72 148.513885 152.472229 5.046906 978.784119 855.146423 1.144581
32 62 259.258057 152.258072 4.638100 703.120361 630.621582 1.114964
33 73 553.178101 156.109589 5.014784 975.395203 860.412964 1.133636
34 78 288.371796 158.615387 5.226510 1188.267944 942.411560 1.260880
35 67 342.820892 157.149246 4.896478 933.259521 673.098694 1.386512
36 67 498.283569 161.761200 4.871162 813.860413 775.930603 1.048883
37 76 523.828918 161.131577 5.164989 1108.661011 918.799561 1.206641
38 57 412.807007 161.368423 4.534740 717.970764 454.169617 1.580843
39 72 599.402771 162.875000 4.982183 916.298096 870.896362 1.052132
40 73 367.712341 163.178085 5.058079 964.518677 903.125122 1.067979
41 59 110.118645 164.355927 4.653584 678.662781 599.032104 1.132932
42 54 467.666656 166.851852 4.535487 616.232727 494.582062 1.245967
43 64 223.421875 169.171875 4.681611 809.153442 593.565308 1.363209
44 66 194.212128 170.833328 4.896191 829.585693 752.611267 1.102277
45 73 311.671234 170.657532 5.062010 985.104309 885.443665 1.112554
46 64 53.625000 173.296875 4.786634 830.776062 635.583313 1.307108
47 51 133.411758 173.294113 4.313547 531.959106 416.982086 1.275736
48 69 247.811600 174.246384 4.886186 892.173828 755.188477 1.181392
49 77 438.558441 173.727280 5.210205 1067.757935 1022.501770 1.044260
50 51 632.509827 172.568634 4.336925 502.116699 457.138214 1.098391
51 65 574.661560 175.030762 4.746646 775.077454 689.414856 1.124254
52 65 82.523079 177.015381 4.744552 759.201111 703.998901 1.078412
53 56 166.821426 175.875000 4.388173 574.275757 504.063538 1.139292
54 69 392.695648 180.608688 5.089124 1037.061523 749.981995 1.382782
55 72 485.319458 183.500000 5.027221 980.072815 839.579956 1.167337
56 74 330.027039 186.013519 5.116127 1021.343933 915.588501 1.115505
57 65 512.200012 185.984619 4.812459 808.626770 696.757874 1.160556
58 62 289.967743 187.548386 4.760880 721.764404 683.525940 1.055943
59 74 612.932434 188.445953 5.012074 1020.612671 838.333313 1.217431
60 81 367.790131 189.469131 5.244168 1150.122803 1077.482178 1.067417
61 62 122.096771 191.645157 4.747857 782.724060 614.888855 1.272952
62 85 147.329407 193.282349 5.401525 1367.400146 1112.599854 1.229013
63 69 231.739136 197.072464 4.940137 871.461609 812.480408 1.072594
64 65 564.169250 197.292313 4.740309 750.118713 710.465942 1.055812
65 45 41.888889 196.733337 4.271987 460.728210 360.516235 1.277968
66 78 267.692322 198.923080 5.250340 1185.131104 965.022705 1.228086
67 63 439.428558 198.000000 4.645237 750.820435 608.608154 1.233668
68 66 199.772720 199.954544 4.815465 846.149536 684.304993 1.236509
69 53 410.283020 200.188675 4.545094 578.325745 516.542175 1.119610
70 64 532.234375 201.812500 4.722344 788.611267 638.623108 1.234862
71 81 66.765434 201.740738 5.342699 1186.289673 1125.809204 1.053722
72 70 307.071442 202.214279 4.934469 891.086487 813.342102 1.095586
73 75 591.306641 202.293335 5.085264 986.361816 953.131470 1.034864
74 67 466.985077 205.417908 4.885684 907.003662 692.279907 1.310169
75 70 353.557129 207.914291 5.015344 949.742615 811.014526 1.171055
76 77 93.038963 207.467529 5.172419 1106.598389 953.453613 1.160621
77 58 628.655151 206.758621 4.593331 649.790100 573.934021 1.132169
78 65 388.461548 208.753845 4.914993 897.290222 672.925171 1.333418
79 65 130.215378 213.415390 4.756808 749.745117 721.024109 1.039834
80 59 512.966125 214.220337 4.547430 706.726562 513.341187 1.376719
81 59 178.644073 215.864410 4.544396 684.830383 533.610291 1.283391
82 84 551.166687 218.452377 5.416549 1319.676880 1144.799316 1.152758
83 83 46.012047 222.409637 5.493764 1406.409424 1098.650879 1.280124
84 85 244.023529 222.329407 5.443539 1315.635864 1203.093628 1.093544
85 58 576.793091 220.344833 4.595014 683.570618 541.050049 1.263415
86 87 448.804596 223.482758 5.535053 1480.073242 1185.328979 1.248660
87 57 611.350891 221.807022 4.460076 617.512817 516.346863 1.195926
88 53 415.660370 222.698120 4.414933 578.627991 454.428589 1.273309
89 69 158.434784 224.869568 4.947233 885.282715 803.499878 1.101783
90 64 279.593750 224.281250 4.717612 747.858337 676.516663 1.105454
91 75 109.400002 227.973328 5.119826 1028.618042 937.328613 1.097393
92 68 302.073517 227.529419 4.987593 946.860046 744.713501 1.271442
93 71 72.718307 228.507050 4.933519 940.377014 787.735657 1.193772
94 79 489.873413 229.835449 5.267040 1196.738281 994.856689 1.202925
95 74 369.432434 232.945953 5.085680 981.800476 932.145447 1.053270
96 57 632.894714 230.912277 4.436551 583.902710 538.027161 1.085266
97 67 221.044769 232.402985 4.879113 835.354065 759.630981 1.099684
98 73 330.698639 234.041092 5.075116 1027.606934 852.639587 1.205207
99 70 532.285706 233.057144 4.896146 854.328430 823.728699 1.037148
100 69 394.072449 235.420288 4.918833 888.900452 780.548828 1.138815
101 6 28.833334 231.166672 1.986063 21.374182 2.292485 9.323585
102 76 193.315796 236.526321 5.195353 1106.549561 944.818848 1.171176
103 80 136.899994 240.562500 5.204430 1171.944092 994.943420 1.177900
104 59 566.271179 240.745758 4.738675 742.776184 582.071289 1.276091
105 59 595.508484 240.830505 4.641469 743.655396 527.395447 1.410053
106 65 510.569244 242.923080 4.694602 752.698608 679.855225 1.107145
107 55 424.763641 244.581818 4.372037 593.526978 457.782135 1.296527
108 61 251.245895 245.967209 4.668074 732.093018 597.152893 1.225972
109 53 457.471710 246.339630 4.302466 544.666016 436.428345 1.248008
110 66 48.712120 248.515152 4.861748 802.666443 757.348694 1.059837
111 65 96.492310 248.738464 4.782661 827.898926 658.901062 1.256484
112 72 353.055542 250.680557 5.040710 948.565186 880.865356 1.076856
113 62 299.870972 252.548386 4.600706 712.126648 600.195923 1.186490
114 65 170.553848 252.184616 4.905015 883.970520 679.875610 1.300195
115 72 483.361115 253.472229 5.003548 1001.204834 801.350769 1.249396
116 67 229.328354 254.388062 4.930391 855.868652 772.817932 1.107465
117 68 622.102966 256.382355 4.932393 950.805847 703.532349 1.351474
118 59 68.593224 257.322021 4.608612 695.050720 558.067871 1.245459
119 55 202.490906 258.036377 4.511949 594.395508 525.277222 1.131585
120 52 271.019226 258.634613 4.285572 518.157410 436.881042 1.186038
121 72 327.347229 260.319458 4.988838 945.091980 846.880188 1.115969
122 58 531.724121 259.413788 4.551724 629.724487 571.930725 1.101050
123 71 583.661987 262.295776 4.928612 925.190308 799.485718 1.157232
124 56 437.982147 262.875000 4.462357 602.022095 513.085022 1.173338
125 63 393.047607 263.888885 4.722589 753.799744 651.279602 1.157413
126 66 503.257568 265.924255 4.810409 838.107300 689.135132 1.216173
127 56 113.642860 264.875000 4.600043 646.843689 538.138489 1.202002
128 61 461.081970 266.950806 4.640242 755.988464 557.454163 1.356145
129 58 150.948273 267.982758 4.536875 636.348694 557.478882 1.141476
130 54 561.074097 269.555542 4.540022 682.239319 430.797729 1.583665
131 75 50.466667 274.226654 5.220234 1126.740479 917.072876 1.228627
132 56 83.839287 273.821442 4.475664 618.338867 503.429016 1.228254
133 32 30.343750 274.281250 3.839301 375.777527 95.909973 3.918024
134 74 359.905396 275.500000 5.152850 1028.471069 936.366821 1.098363
135 43 635.023254 274.697662 4.187597 533.026611 221.019897 2.411668
136 67 306.029846 275.492523 4.813982 835.983459 716.703064 1.166429
137 72 415.750000 275.638885 4.975092 933.573547 848.537537 1.100215
138 57 607.421082 275.684204 4.460766 597.082642 537.127869 1.111621
139 74 250.121628 280.878387 5.098769 1103.056885 820.753906 1.343956
140 56 215.500000 281.714294 4.522619 649.828857 495.599731 1.311197
141 58 193.017242 281.655182 4.541164 643.061157 553.025085 1.162806
142 64 131.046875 285.171875 4.713625 750.673767 671.294983 1.118247
143 61 476.704926 284.786896 4.600282 728.125793 562.792236 1.293774
144 64 525.359375 285.062500 4.825849 843.964417 646.519958 1.305396
145 62 577.516113 285.870972 4.625406 685.434204 641.017395 1.069291
146 72 332.444458 286.597229 4.993186 973.834290 821.262878 1.185777
147 56 444.410706 285.839294 4.561303 653.942261 511.164917 1.279318
148 67 167.074631 287.417908 4.866770 854.097534 732.827820 1.165482
149 64 285.390625 287.937500 4.807196 848.769958 630.214417 1.346796
150 67 381.388062 287.373138 4.883084 858.978027 738.604004 1.162975
151 67 104.656715 288.791046 4.800776 823.556458 720.622620 1.142840
152 76 550.763184 294.000000 5.216039 1105.081665 962.655151 1.147952
153 54 621.074097 295.277771 4.510352 641.722778 456.814240 1.404778
154 80 499.274994 297.975006 5.354787 1217.507080 1076.392944 1.131099
155 73 311.301361 299.657532 4.970885 949.622559 854.185669 1.111729
156 64 400.015625 301.203125 4.762063 737.013794 714.329956 1.031755
157 73 48.068493 301.863007 5.119514 1053.583862 859.703857 1.225519
158 60 424.066681 301.716675 4.538569 629.880371 606.036316 1.039344
159 57 362.315796 302.157898 4.561268 641.963501 543.931213 1.180229
160 56 188.285721 304.732147 4.480933 596.101807 528.308899 1.128321
161 73 591.986328 304.917816 5.105052 1016.459106 886.033997 1.147201
162 60 77.966667 304.899994 4.653553 686.219543 613.113831 1.119237
163 31 149.451614 305.000000 3.406244 194.095352 165.582062 1.172200
164 51 466.098053 306.313721 4.332934 495.464417 462.025787 1.072374
165 55 120.618179 307.618195 4.406532 542.569336 525.394287 1.032690
166 64 522.281250 311.046875 4.811764 815.371338 666.425537 1.223500
167 78 245.974365 312.794861 5.214215 1121.069702 999.596985 1.121522
168 48 445.520844 310.750000 4.084980 471.891846 329.087341 1.433941
169 69 287.217377 312.043488 4.941115 927.953064 756.655640 1.226388
170 68 568.308838 312.411774 4.775836 794.520325 756.464966 1.050307
171 44 635.159119 313.159088 4.451181 676.089905 195.682831 3.455029
172 40 30.775000 313.149994 4.092906 508.735168 161.339844 3.153190
173 69 215.942032 319.043488 4.899923 889.418762 767.218872 1.159276
174 46 342.978271 317.913055 4.103631 430.484131 344.146301 1.250875
175 64 484.859375 319.203125 4.769850 735.823181 720.270569 1.021593
176 66 611.333313 321.363647 4.754487 805.197083 686.742371 1.172488
177 54 103.370369 322.277771 4.412579 545.978088 505.447845 1.080187
178 48 406.416656 323.312500 4.067091 425.132446 368.846710 1.152599
179 64 368.921875 324.234375 4.821977 789.156860 698.936890 1.129082
180 72 162.430557 325.930542 4.958586 961.307190 808.998352 1.188268
181 73 71.260277 326.890411 5.008456 955.448608 875.729492 1.091032
182 61 268.590149 329.081970 4.678770 737.949646 597.394653 1.235280
183 32 127.156250 326.406250 3.535258 266.584259 133.353241 1.999083
184 70 321.600006 329.457153 4.945664 885.192078 826.979370 1.070392
185 75 589.186646 328.946655 5.201504 1107.615479 921.557800 1.201895
186 68 431.088226 330.044128 4.893480 854.227905 774.110352 1.103496
187 67 510.014923 331.417908 4.861183 831.531860 751.751709 1.106126
188 50 550.599976 330.100006 4.167733 487.156158 381.343842 1.277472
189 75 187.026672 333.253326 5.321821 1135.199951 988.933350 1.147903
190 50 48.700001 336.440002 4.300744 497.841736 426.978271 1.165965
191 71 293.802826 337.422546 4.954104 997.593445 744.969971 1.339106
192 71 235.549301 338.492950 4.972210 928.856750 826.467224 1.123888
193 69 459.536224 339.753632 4.957750 938.749390 757.221619 1.239729
194 71 387.380280 340.154938 4.961866 923.374939 824.653259 1.119713
195 67 343.208954 341.597015 4.864115 836.787231 748.406799 1.118091
196 66 210.545456 343.227264 4.842918 816.079956 731.874573 1.115054
197 51 139.627457 344.019623 4.267759 471.932159 456.969788 1.032743
198 53 623.358521 344.716980 4.499357 627.974121 444.969269 1.411275
199 51 491.117645 348.000000 4.208521 520.357483 382.936615 1.358861
200 74 571.054077 349.283783 5.081530 1098.366455 812.457947 1.351906
201 58 116.051727 349.413788 4.538939 638.721619 556.192200 1.148383
202 52 413.634613 350.903839 4.395314 552.506104 452.070801 1.222167
203 74 539.972961 350.837830 5.120177 1031.486084 908.513916 1.135355
204 69 313.333344 352.391296 4.954530 891.527222 802.240906 1.111296
205 62 595.629028 354.709686 4.668428 712.359985 638.881958 1.115010
206 56 171.089279 356.571442 4.484632 588.849426 537.418457 1.095700
207 78 442.423065 357.948730 5.207038 1145.659058 969.174255 1.182098
208 60 81.566666 357.766663 4.606999 667.302429 606.164185 1.100861
209 64 263.796875 359.656250 4.751310 841.006897 603.789978 1.392880
210 50 290.760010 361.059998 4.312633 498.437897 431.502106 1.155123
211 66 47.378788 363.954559 4.840477 798.698181 747.695740 1.068213
212 54 360.907410 364.407410 4.396071 598.711548 444.862549 1.345835
213 66 394.969696 365.318176 4.939417 907.625793 702.631775 1.291752
214 66 467.742432 367.060608 4.905746 872.475647 715.903198 1.218706
215 42 519.523804 364.285706 4.003117 371.741333 301.306274 1.233766
216 64 226.500000 366.218750 4.842742 858.541504 642.395996 1.336468
217 60 620.750000 367.016663 4.575721 641.669556 614.563782 1.044106
218 72 103.972221 370.069458 5.014697 1003.724915 806.872253 1.243970
219 57 147.842102 368.491241 4.428426 606.445190 511.379395 1.185901
220 54 492.111115 370.407410 4.397748 547.106506 497.263885 1.100234
221 74 197.743240 374.500000 5.049246 982.656006 903.965637 1.087050
