# Input file: /home/rlomba/cupy/pictures/2sp_white.jpg
# std_scale: 1.0
# min_pts: 5
# cluster_id num_points center_x center_y gyration_radius lambda1 lambda2 relation_between_lambdas
0 11 860.181824 9.727273 1.342257 11.388984 8.429198 1.351135
1 1112 265.920868 10.122302 17.186304 280354.375000 48096.039062 5.829053
2 429 951.312378 5.310023 11.752489 52894.710938 6359.199219 8.317826
3 11 328.545441 9.636364 1.323656 11.000000 8.272727 1.329670
4 12 516.500000 7.500000 1.354006 11.000000 11.000000 1.000000
5 29 522.517212 9.275862 2.723047 175.170456 39.864029 4.394198
6 20 152.250000 10.100000 2.275412 88.348907 15.201094 5.812010
7 58 181.258621 10.017241 4.093947 730.329651 241.773819 3.020714
8 13 109.384613 12.384615 1.418391 15.153846 11.000000 1.377622
9 1536 778.261047 19.662109 16.310024 210487.796875 198114.156250 1.062457
10 97 824.752563 16.814432 5.115896 1575.459351 963.262329 1.635545
11 23 67.521736 14.304348 2.642534 144.375351 16.233351 8.893748
12 39 432.923065 12.717949 3.582961 434.929932 65.736732 6.616239
13 33 986.121216 43.272728 2.582345 142.068649 77.991959 1.821581
14 10 804.700012 28.700001 1.272792 10.000000 6.200000 1.612903
15 10 574.200012 12.500000 1.268858 10.500000 5.600000 1.875000
16 32 594.843750 14.406250 2.957710 236.506317 43.431187 5.445541
17 19 622.736816 3.368421 1.920872 54.551689 15.553573 3.507341
18 40 556.525024 15.125000 3.155749 271.423035 126.926949 2.138419
19 11 343.636353 28.454546 1.323656 11.000000 8.272727 1.329670
20 40 355.075012 30.325001 3.519766 423.342072 72.207916 5.862821
21 20 723.049988 6.550000 1.869492 47.559620 22.340380 2.128863
22 23 741.391296 11.217391 2.220373 93.114792 20.276516 4.592248
23 11 751.454529 8.636364 1.323656 11.000000 8.272727 1.329670
24 11 607.454529 5.636364 1.323656 11.000000 8.272727 1.329670
25 593 379.357513 5.865093 14.271956 110779.148438 10008.266602 11.068765
26 13 848.615356 29.384615 1.418391 15.153846 11.000000 1.377622
27 9 427.333344 31.888889 1.196703 8.493232 4.395657 1.932187
28 10 57.000000 30.500000 1.284523 12.000000 4.500000 2.666667
29 10 155.000000 2.500000 1.284523 12.000000 4.500000 2.666667
30 35 164.714279 2.828571 3.312808 307.440735 76.673546 4.009737
31 23 101.826088 30.130434 2.483975 118.809578 23.103466 5.142500
32 12 116.250000 31.416666 1.389444 14.639520 8.527146 1.716813
33 38 543.631592 4.105263 3.197125 316.210693 72.210342 4.379022
34 11 442.090912 40.363636 1.329885 12.986081 6.468464 2.007599
35 11 694.909119 11.363636 1.329885 12.986081 6.468464 2.007599
36 13 1024.615356 39.384617 1.418391 15.153846 11.000000 1.377622
37 2499 26.368547 66.508606 21.299274 595190.187500 538503.937500 1.105266
38 11 710.909119 8.363636 1.329885 12.986081 6.468464 2.007599
39 31 189.709671 3.290323 2.441405 122.000000 62.774193 1.943474
40 62 1032.403198 5.854839 4.132118 853.554382 205.058487 4.162492
41 30 616.900024 10.333333 2.403932 109.768692 63.597977 1.725978
42 9 651.666687 13.888889 1.196703 8.493232 4.395657 1.932187
43 9 430.000000 3.000000 1.154701 6.000000 6.000000 1.000000
44 11 651.454529 43.636364 1.323656 11.000000 8.272727 1.329670
45 9 908.111084 0.777778 1.266862 10.461640 3.982805 2.626702
46 11 181.727280 0.454545 1.676281 28.254662 2.654429 10.644345
47 12 940.500000 61.500000 1.354006 11.000000 11.000000 1.000000
48 11 82.818184 30.454546 1.360603 14.128780 6.234856 2.266096
49 11 634.454529 11.636364 1.323656 11.000000 8.272727 1.329670
50 10 570.900024 7.800000 1.284523 10.500000 6.000000 1.750000
51 58 495.189667 42.689655 5.145014 1415.181152 120.146461 11.778800
52 22 149.181824 18.909090 2.403510 111.962463 15.128448 7.400790
53 10 161.500000 22.000000 1.284523 12.000000 4.500000 2.666667
54 9 813.666687 20.888889 1.196703 8.493232 4.395657 1.932187
55 20 910.900024 26.150000 2.348936 97.915855 12.434146 7.874755
56 24 647.625000 18.916666 2.593729 138.490448 22.967890 6.029741
57 12 230.500000 34.333332 1.404358 14.946923 8.719743 1.714147
58 23 3.086957 13.521739 2.699156 152.601242 14.963979 10.197906
59 20 696.150024 40.599998 2.041445 64.620712 18.729290 3.450249
60 10 702.000000 41.200001 1.249000 9.600000 6.000000 1.600000
61 10 122.500000 47.000000 1.284523 12.000000 4.500000 2.666667
62 9 130.000000 46.000000 1.154701 6.000000 6.000000 1.000000
63 20 704.500000 16.850000 2.139509 77.559441 13.990560 5.543698
64 12 562.750000 35.333332 1.381927 13.026794 9.889873 1.317185
65 32 101.000000 66.125000 2.368412 99.551147 79.948853 1.245185
66 11 588.818176 28.181818 1.323656 10.000000 9.272727 1.078431
67 75 843.813354 40.986668 4.570008 1193.481079 372.892303 3.200605
68 12 995.416687 24.750000 1.389444 14.639520 8.527146 1.716813
69 10 725.000000 19.799999 1.249000 9.600000 6.000000 1.600000
70 11 325.818176 1.181818 1.323656 10.000000 9.272727 1.078431
71 13 889.615356 40.384617 1.418391 15.153846 11.000000 1.377622
72 11 907.181824 40.727272 1.342257 11.388984 8.429198 1.351135
73 22 641.409119 9.045455 2.470487 115.000000 19.272728 5.966981
74 23 442.260864 26.782608 2.416859 112.169899 22.177925 5.057727
75 11 572.181824 3.181818 1.323656 10.000000 9.272727 1.078431
76 9 343.000000 17.000000 1.154701 6.000000 6.000000 1.000000
77 37 842.081055 2.297297 2.849782 178.925659 121.560829 1.471902
78 10 847.000000 4.800000 1.249000 9.600000 6.000000 1.600000
79 19 477.210541 13.631579 1.994452 61.955395 13.623553 4.547668
80 10 1026.000000 20.799999 1.249000 9.600000 6.000000 1.600000
81 10 685.000000 41.200001 1.249000 9.600000 6.000000 1.600000
82 22 988.590881 22.090910 2.186075 87.370941 17.765425 4.918033
83 9 714.888916 15.666667 1.196703 8.493232 4.395657 1.932187
84 9 815.888916 59.666668 1.196703 8.493232 4.395657 1.932187
85 23 578.130432 20.434782 2.169561 84.911140 23.349730 3.636493
86 10 466.799988 38.500000 1.268858 10.500000 5.600000 1.875000
87 18 206.500000 26.500000 1.957890 57.000000 12.000000 4.750000
88 12 62.750000 16.583334 1.389444 14.639520 8.527146 1.716813
89 11 228.545456 16.636364 1.323656 11.000000 8.272727 1.329670
90 21 728.857117 29.190475 2.180100 83.454437 16.355089 5.102658
91 13 24.384615 8.384615 1.418391 15.153846 11.000000 1.377622
92 13 113.384613 5.384615 1.418391 15.153846 11.000000 1.377622
93 11 544.909119 33.363636 1.329885 12.986081 6.468464 2.007599
94 12 588.500000 15.500000 1.354006 11.000000 11.000000 1.000000
95 9 439.000000 19.000000 1.154701 6.000000 6.000000 1.000000
96 11 749.363647 29.454546 1.323656 11.000000 8.272727 1.329670
97 9 825.666687 30.888889 1.196703 8.493232 4.395657 1.932187
98 23 835.391296 33.391304 2.196405 86.022781 24.933739 3.450056
99 12 544.500000 15.500000 1.354006 11.000000 11.000000 1.000000
100 18 313.277771 23.333334 1.879880 49.448120 14.162992 3.491361
101 62 380.725800 46.258064 5.242829 1578.530273 125.679443 12.559971
102 11 110.636360 17.454546 1.323656 11.000000 8.272727 1.329670
103 11 626.363647 27.454546 1.323656 11.000000 8.272727 1.329670
104 11 411.636353 21.454546 1.323656 11.000000 8.272727 1.329670
105 30 506.166656 31.900000 2.315647 98.848572 62.018093 1.593867
106 13 202.384613 32.384617 1.418391 15.153846 11.000000 1.377622
107 10 209.000000 13.800000 1.249000 9.600000 6.000000 1.600000
108 25 591.640015 0.840000 2.946998 201.795151 15.324848 13.167841
109 15 607.400024 0.733333 2.074180 57.065948 7.467383 7.642027
110 9 663.000000 20.000000 1.154701 6.000000 6.000000 1.000000
111 13 815.615356 4.384615 1.418391 15.153846 11.000000 1.377622
112 11 490.000000 13.636364 1.366663 12.545455 8.000000 1.568182
113 11 657.181824 22.181818 1.323656 10.000000 9.272727 1.078431
114 22 357.136353 47.454544 2.236530 91.539856 18.505600 4.946603
115 21 75.714287 35.190475 1.921356 53.970284 23.553526 2.291389
