# Input file: /home/rlomba/cupy/pictures/2sp_white.jpg
# std_scale: 1.0
# min_pts: 5
# cluster_id num_points center_x center_y gyration_radius lambda1 lambda2 relation_between_lambdas
0 22 149.181824 18.909090 2.403510 111.962463 15.128448 7.400790
1 23 56.608696 21.043478 2.471004 117.079391 23.355389 5.012950
2 20 704.500000 16.850000 2.139509 77.559441 13.990560 5.543698
3 593 379.357513 5.865093 14.271956 110779.148438 10008.266602 11.068765
4 23 3.086957 13.521739 2.699156 152.601242 14.963979 10.197906
5 11 110.636360 17.454546 1.323656 11.000000 8.272727 1.329670
6 11 89.272728 25.181818 1.342257 11.388984 8.429198 1.351135
7 11 918.636353 16.545454 1.323656 11.000000 8.272727 1.329670
8 429 951.312378 5.310023 11.752489 52894.710938 6359.199219 8.317826
9 22 988.590881 22.090910 2.186075 87.370941 17.765425 4.918033
10 12 995.416687 24.750000 1.389444 14.639520 8.527146 1.716813
11 11 626.363647 27.454546 1.323656 11.000000 8.272727 1.329670
12 11 228.545456 16.636364 1.323656 11.000000 8.272727 1.329670
13 1112 265.920868 10.122302 17.186304 280354.375000 48096.039062 5.829053
14 30 616.900024 10.333333 2.403932 109.768692 63.597977 1.725978
15 23 578.130432 20.434782 2.169561 84.911140 23.349730 3.636493
16 12 544.500000 15.500000 1.354006 11.000000 11.000000 1.000000
17 10 890.700012 24.700001 1.272792 10.000000 6.200000 1.612903
18 20 910.900024 26.150000 2.348936 97.915855 12.434146 7.874755
19 1536 778.261047 19.662109 16.310024 210487.796875 198114.156250 1.062457
20 9 439.000000 19.000000 1.154701 6.000000 6.000000 1.000000
21 12 62.750000 16.583334 1.389444 14.639520 8.527146 1.716813
22 23 67.521736 14.304348 2.642534 144.375351 16.233351 8.893748
23 13 902.384644 16.615385 1.418391 15.153846 11.000000 1.377622
24 11 328.545441 9.636364 1.323656 11.000000 8.272727 1.329670
25 40 556.525024 15.125000 3.155749 271.423035 126.926949 2.138419
26 97 824.752563 16.814432 5.115896 1575.459351 963.262329 1.635545
27 11 694.909119 11.363636 1.329885 12.986081 6.468464 2.007599
28 10 725.000000 19.799999 1.249000 9.600000 6.000000 1.600000
29 9 413.000000 26.000000 1.154701 6.000000 6.000000 1.000000
