# Input file: /home/rlomba/cupy/pictures/image.png
# std_scale: 1.0
# min_pts: 5
# cluster_id num_points center_x center_y gyration_radius lambda1 lambda2 relation_between_lambdas
0 274 639.784668 4.076643 9.995197 25121.564453 2252.121582 11.154622
1 885 698.568359 23.674576 19.549080 324649.000000 13568.388672 23.926865
2 574 680.740417 45.162022 13.483004 92769.523438 11578.729492 8.012064
3 166 709.331299 4.301205 6.740329 6408.745605 1132.971436 5.656582
4 531 877.877563 89.263657 18.241947 171754.906250 4945.228516 34.731438
5 565 894.238953 73.798233 12.509093 77992.054688 10417.689453 7.486502
6 421 887.197144 13.256532 8.696647 19298.382812 12542.548828 1.538633
7 549 800.752258 71.183968 17.360043 159829.765625 5622.963379 28.424471
8 337 845.231445 70.952522 10.150381 30972.003906 3749.183350 8.261000
9 773 590.979309 65.469597 15.822275 179133.265625 14382.939453 12.454566
10 845 615.621277 60.814201 15.900826 196085.828125 17560.822266 11.166096
11 840 641.270264 61.589287 16.804298 221173.109375 16029.849609 13.797579
12 388 660.577332 75.502579 9.460128 23897.224609 10826.453125 2.207299
13 237 752.000000 62.919830 6.972967 8869.613281 2653.864014 3.342150
14 1154 923.086670 83.724434 21.648037 515418.093750 25389.603516 20.300362
15 1416 700.713257 93.451981 23.683683 758535.500000 35722.828125 21.233915
16 1303 560.553345 95.935532 20.406096 388773.343750 153807.281250 2.527665
17 609 638.619019 113.134644 13.873376 103978.414062 13236.162109 7.855632
18 79 792.936707 41.810127 3.803455 740.542175 402.293304 1.840802
19 1012 576.775696 120.931816 16.746492 204874.015625 78936.359375 2.595433
20 217 841.341003 100.658989 6.436335 5883.446777 3106.083252 1.894169
21 220 982.304565 111.636360 11.574561 28504.837891 968.665771 29.426908
22 331 813.773438 83.386703 9.693881 27501.585938 3602.921631 7.633135
23 829 826.461975 117.535583 21.153248 361311.718750 9632.546875 37.509468
24 66 760.348511 80.272728 3.618295 655.890381 208.185379 3.150511
25 941 958.040405 146.375137 20.941725 397284.875000 15396.183594 25.804113
26 1018 789.559937 138.828094 14.400249 166275.703125 44824.058594 3.709519
27 645 938.124023 147.978302 12.933687 92913.648438 14982.126953 6.201632
28 157 913.229309 141.987259 8.761424 11593.427734 458.292328 25.297014
29 742 555.167114 186.291107 12.823727 102219.781250 19800.615234 5.162455
30 844 589.849548 155.649292 16.987661 211125.125000 32436.958984 6.508783
31 773 708.913330 167.803360 15.017941 153144.312500 21196.988281 7.224815
32 1169 750.805847 176.200165 19.732603 403183.750000 51996.332031 7.754080
33 745 876.940918 154.730194 15.661785 167532.390625 15209.774414 11.014785
34 407 663.705139 157.196564 9.681525 23257.404297 14891.490234 1.561792
35 764 304.513092 180.446335 15.242871 164018.312500 13493.363281 12.155479
36 2333 245.102020 232.459488 41.764271 3903864.250000 165480.968750 23.591015
37 1969 708.973083 211.464188 24.406050 1025848.687500 146996.640625 6.978722
38 202 564.202942 147.386139 6.247597 4996.897949 2887.661621 1.730430
39 431 915.450134 188.148499 10.935497 44904.820312 6636.352539 6.766491
40 1588 387.708435 228.137283 30.196085 1413052.500000 34891.593750 40.498367
41 2815 655.593628 261.278168 24.470814 1270027.500000 415652.812500 3.055501
42 1930 455.631073 255.758545 28.580881 1464936.125000 111616.640625 13.124711
43 3397 398.974670 268.486603 64.071121 13685796.000000 259258.593750 52.788204
44 941 729.912842 234.767273 18.013365 285420.531250 19916.359375 14.330959
45 3784 276.082703 321.183929 49.646980 8300439.500000 1026449.437500 8.086555
46 1048 563.572510 289.389313 18.642521 336468.968750 27756.677734 12.122090
47 1333 714.266296 269.295563 16.484415 277405.875000 84818.132812 3.270596
48 79 797.164551 267.253174 3.996513 1008.497009 253.300476 3.981426
49 885 587.576294 297.710724 15.749596 193625.828125 25898.224609 7.476413
50 1583 397.524963 317.018951 28.227644 1217631.125000 43703.027344 27.861483
51 699 519.297546 286.303284 13.124353 105335.695312 15066.112305 6.991565
52 3082 514.943237 325.240417 27.383936 1481481.125000 829648.812500 1.785672
53 689 780.647339 349.194489 15.751851 159914.796875 11040.434570 14.484467
54 2538 649.070557 312.408203 27.833340 1690168.875000 276006.625000 6.123653
55 3400 711.539429 325.982941 30.829206 1742357.500000 1489138.250000 1.170044
56 806 774.883362 304.692322 13.048332 107433.335938 29795.396484 3.605702
57 1253 304.133270 333.455719 17.934961 338678.031250 64365.503906 5.261794
58 1117 230.925690 304.597137 20.644182 451739.937500 24305.611328 18.585829
59 1564 613.985962 339.583771 19.764982 445224.562500 165759.171875 2.685972
60 1121 568.458496 352.567352 18.466438 311027.218750 71244.281250 4.365644
61 1157 350.390656 337.863434 21.545511 464104.437500 72985.406250 6.358866
62 1505 190.059799 352.904327 21.712234 623508.625000 85980.187500 7.251771
63 238 385.920166 337.365540 6.477719 5958.602539 4028.078125 1.479267
64 1204 749.227600 376.651154 22.991930 612044.687500 24424.472656 25.058664
65 703 371.524902 350.449493 12.952989 98924.078125 19025.191406 5.199636
66 896 638.760071 373.283478 15.468842 162775.953125 51623.445312 3.153140
67 652 668.914124 367.886505 12.662852 86653.023438 17893.771484 4.842636
68 3999 455.259064 404.802948 63.011646 13110797.000000 2767103.500000 4.738094
69 5011 581.580933 438.800629 35.138321 4303778.500000 1883311.250000 2.285219
70 1487 192.736389 417.443848 19.542580 330431.437500 237472.296875 1.391453
71 1056 426.180878 393.812500 16.718290 260399.937500 34753.386719 7.492794
72 1627 506.604187 421.792877 40.407848 2617133.750000 39422.570312 66.386688
73 1275 260.574127 418.218048 33.413197 1393495.000000 29968.085938 46.499302
74 1419 357.354462 443.304443 27.094557 918447.937500 123261.273438 7.451229
75 635 319.792114 400.755920 12.041773 73641.273438 18436.455078 3.994329
76 326 347.960114 392.960114 9.705315 26570.861328 4136.102539 6.424129
77 307 723.648193 390.863190 7.855424 14201.579102 4742.681641 2.994420
78 24 359.791656 313.458344 2.272266 104.313988 19.602676 5.321416
79 685 527.048157 427.369354 15.057213 144133.625000 11169.333984 12.904408
