# Input file: /home/rlomba/cupy/pictures/patchy_black.jpg
# std_scale: 1.0
# min_pts: 5
# cluster_id num_points center_x center_y gyration_radius lambda1 lambda2 relation_between_lambdas
0 15 156.666672 1.200000 2.552559 89.444382 8.288950 10.790798
1 2272 303.972260 25.707306 34.598221 2258202.000000 461465.687500 4.893542
2 32 141.625000 30.000000 3.407253 197.876938 173.623062 1.139693
3 33 385.878784 36.666668 3.260640 181.659378 169.189102 1.073706
4 117 173.410263 7.042735 7.506746 4884.772461 1708.321411 2.859399
5 34 186.147064 3.382353 3.326781 226.501724 149.792389 1.512104
6 527 634.648987 17.863379 14.489427 70186.812500 40453.410156 1.735003
7 763 98.327652 21.311926 18.466854 188515.031250 71686.812500 2.629703
8 59 195.949158 7.288136 5.469405 1406.024048 358.925140 3.917318
9 138 663.971008 11.956522 7.968972 5351.941895 3411.681396 1.568711
10 300 502.103333 12.790000 10.914450 22690.335938 13047.229492 1.739092
11 373 583.544250 75.209114 13.320167 51800.007812 14380.200195 3.602176
12 32 521.625000 1.468750 4.284670 548.484497 38.984238 14.069392
13 33 328.606049 61.666668 3.215550 177.647324 163.564789 1.086098
14 33 126.878784 54.424244 3.273288 186.568008 167.007736 1.117122
15 30 392.000000 94.333336 3.186778 163.231857 141.434814 1.154114
16 29 400.862061 103.793106 3.312499 178.558350 139.648544 1.278627
17 1455 506.015808 152.630920 25.396532 601661.875000 336789.562500 1.786462
18 27 668.703674 114.740738 3.201937 185.607330 91.207489 2.035001
19 28 597.857117 87.357140 3.206339 151.647156 136.209991 1.113334
20 1278 348.039124 145.564163 24.516232 557483.812500 210652.500000 2.646462
21 33 312.181824 60.454544 3.344334 192.192627 176.898270 1.086458
22 945 63.760845 155.513229 19.944262 216699.265625 159196.781250 1.361204
23 32 297.593750 73.000000 3.277379 178.993439 164.725311 1.086618
24 20 669.299988 139.350006 3.168201 172.675354 28.074650 6.150579
25 1216 195.445724 186.249176 22.563688 387617.031250 231472.890625 1.674568
26 72 466.819458 168.263885 5.475500 1644.275391 514.363525 3.196719
27 1257 340.965790 253.334930 24.816423 563642.875000 210486.640625 2.677809
28 1843 40.804665 261.466095 30.110867 1316425.000000 354557.375000 3.712869
29 6 1.000000 33.500000 0.957427 4.000000 1.500000 2.666667
30 32 608.750000 198.406250 3.380638 200.016403 165.702347 1.207083
31 354 250.621475 258.644073 12.432693 33380.914062 21337.513672 1.564424
32 870 654.745972 271.680450 19.581131 221012.750000 112563.289062 1.963453
33 21 585.476196 164.571426 3.239496 111.380951 109.000000 1.021844
34 31 387.483856 173.806458 3.401047 194.954758 163.625885 1.191466
35 63 479.650787 289.936493 5.882532 1860.526367 319.537109 5.822567
36 30 500.100006 284.799988 3.293934 170.270798 155.229202 1.096899
37 408 440.311279 299.568634 12.335938 35532.511719 26555.033203 1.338071
38 31 492.387085 229.612900 3.392162 200.955795 155.753876 1.290214
