# Input file: /home/rlomba/cupy/pictures/run.nc
# std_scale: 1.0
# min_pts: 5
# cluster_id num_points center_x center_y gyration_radius lambda1 lambda2 relation_between_lambdas
0 277 3695.546631 3455.574219 28.184269 116826.265625 103209.531250 1.131933
1 368 326.252472 3682.424316 31.580622 201879.359375 165140.156250 1.222473
2 340 4193.170898 173.887512 30.540373 170835.281250 146287.593750 1.167804
3 221 3435.711426 23.088808 26.861597 109742.296875 49719.242188 2.207240
4 369 393.380341 2517.087402 31.574821 192372.734375 175508.968750 1.096085
5 350 3332.855225 3494.009033 30.877310 171770.000000 161922.875000 1.060814
6 216 22.182110 1449.140137 26.692150 111747.304688 42146.406250 2.651408
7 131 62.570950 4456.849121 23.015249 55453.085938 13937.839844 3.978600
8 263 4275.581055 3726.683594 28.559160 109363.812500 105145.734375 1.040116
9 306 1033.656494 630.592712 29.788681 142206.531250 129327.312500 1.099586
10 360 4210.280762 4344.426270 31.597624 197365.062500 162062.468750 1.217833
11 353 878.440125 4227.378906 31.199717 172729.921875 170888.140625 1.010778
12 261 3885.268311 707.347107 28.731440 117093.398438 98360.960938 1.190446
13 335 4257.609863 1451.232666 30.880188 172190.718750 147260.593750 1.169293
14 317 4011.006592 4066.979004 29.626049 145212.531250 133019.265625 1.091665
15 399 134.543182 3721.240234 32.084148 206988.093750 203739.593750 1.015944
16 380 1630.825684 3296.002441 32.105331 205130.031250 186555.812500 1.099564
17 394 4288.819824 3973.602539 32.316715 212544.734375 198937.078125 1.068402
18 380 168.617950 3341.199219 32.209213 212050.140625 182174.531250 1.163994
19 365 82.303284 4230.991699 31.356667 188751.140625 170131.656250 1.109442
20 374 4115.070312 2935.142090 31.948053 209806.843750 171926.765625 1.220327
21 278 4436.168457 3652.326660 27.761797 117258.039062 97001.375000 1.208829
22 214 392.265472 4438.284668 25.901026 78441.492188 65123.210938 1.204509
23 170 4069.124756 4453.397461 24.674360 77912.304688 25587.779297 3.044903
24 234 3217.537354 4127.072266 27.297026 92046.125000 82313.750000 1.118235
25 321 4422.435547 2070.559814 30.125059 152095.765625 139217.906250 1.092501
26 429 875.067932 3938.103516 33.271988 247651.234375 227262.578125 1.089714
