# Input file: /home/rlomba/cupy/pictures/salr.jpg
# std_scale: 1.0
# min_pts: 5
# cluster_id num_points center_x center_y gyration_radius lambda1 lambda2 relation_between_lambdas
0 291 572.292114 21.769760 8.202703 10217.447266 9362.297852 1.091340
1 20 470.500000 8.750000 2.690260 91.601044 53.148960 1.723478
2 257 517.712036 21.887159 7.915020 8435.563477 7664.856934 1.100551
3 189 892.841248 5.312169 7.258573 7471.539062 2486.281006 3.005106
4 235 213.399994 20.536171 7.633309 7337.025391 6355.817383 1.154380
5 185 1055.270264 4.821621 7.051011 7050.634277 2146.965820 3.283999
6 103 12.436893 4.097087 5.750786 2523.796387 882.572571 2.859591
7 224 69.629463 11.982142 7.569374 6547.058594 6287.115723 1.041345
8 230 747.065247 29.204348 7.470352 6681.033203 6154.384277 1.085573
9 64 786.640625 2.312500 4.819369 1298.737305 187.747040 6.917485
10 270 1072.222168 49.362965 7.745273 8197.044922 8000.051270 1.024624
11 218 272.972473 42.105503 7.422507 6435.083008 5575.325195 1.154208
12 94 624.351074 3.787234 5.576508 2356.062012 567.097473 4.154598
13 215 353.516266 31.316278 7.016322 5427.373535 5156.812500 1.052467
14 225 1001.413330 33.017776 7.505402 6677.770020 5996.719238 1.113571
15 238 428.352936 17.176470 7.624303 7620.722656 6214.218262 1.226336
16 341 684.304993 18.284458 9.017365 14564.162109 13163.527344 1.106403
17 83 840.024109 2.722892 5.473461 2117.301514 369.276855 5.733643
18 224 945.816956 18.799107 7.249832 6152.562988 5620.892578 1.094588
19 161 116.136642 32.397514 6.518751 3673.204834 3168.347900 1.159344
20 298 815.453003 41.630871 8.316967 10676.289062 9936.949219 1.074403
21 8 165.750000 0.500000 1.639360 20.000000 1.500000 13.333333
22 8 173.250000 1.000000 1.854050 23.703014 3.796985 6.242588
23 19 263.052643 0.947368 3.641101 237.057571 14.837169 15.977278
24 251 569.760986 74.661354 7.511445 7101.848633 7060.023926 1.005924
25 237 24.257383 52.177216 8.216443 8412.502930 7587.353027 1.108753
26 280 72.242859 70.525002 7.901924 8800.081055 8683.229492 1.013457
27 276 165.481888 46.797100 8.285562 9773.176758 9174.370117 1.065270
28 247 217.599197 76.967613 7.675889 7789.759277 6763.301270 1.151769
